,x[px],y[px],r[px]
621,104,173,34
622,104,171,32
623,104,169,32
624,103,169,34
625,99,168,38
626,96,168,40
627,96,168,40
628,96,167,40
629,96,167,40
630,96,167,41
631,71,167,29
632,83,166,28
633,83,166,28
634,83,166,28
635,83,166,28
636,83,166,28
637,83,166,28
638,83,165,28
639,83,190,1
640,83,190,1
641,83,190,1
642,83,190,1
643,83,165,28
644,83,165,28
645,83,190,1
646,83,190,1
647,83,190,1
648,83,190,1
649,83,190,1
650,83,190,1
651,83,190,1
652,83,190,1
653,83,190,1
654,83,190,1
655,83,190,1
656,83,190,1
657,83,190,1
658,83,190,1
659,83,190,1
660,83,190,1
661,83,190,1
662,83,190,1
663,83,190,1
664,83,190,1
665,83,190,1
666,83,190,1
667,83,190,1
668,83,190,1
669,83,190,1
670,83,190,1
671,83,190,1
672,108,165,29
673,108,165,29
674,108,166,30
675,107,166,30
676,107,167,30
677,106,167,30
678,105,168,31
679,100,168,37
680,99,168,38
681,99,168,38
682,99,168,38
683,99,169,38
684,100,169,37
685,100,169,37
686,101,169,36
687,100,169,37
688,100,169,37
689,100,170,37
690,100,170,37
691,100,170,37
692,101,170,37
693,101,170,37
694,101,170,37
695,101,170,37
696,102,171,36
697,102,171,36
698,102,171,36
699,102,171,36
700,102,171,36
701,103,171,35
702,102,171,36
703,102,170,36
704,101,170,37
705,101,170,37
706,101,169,37
707,101,169,37
708,101,169,37
709,101,169,37
710,101,168,37
711,101,168,37
712,101,168,37
713,101,168,37
714,101,167,37
715,100,167,38
716,100,166,38
717,99,166,39
718,108,166,29
719,83,166,29
720,83,165,28
721,83,165,28
722,99,166,40
723,99,166,40
724,99,166,40
725,98,166,41
726,97,166,41
727,97,166,42
728,96,166,42
729,95,165,43
730,84,190,32
731,70,190,43
732,70,190,43
733,83,190,1
734,83,190,1
735,83,190,1
736,83,190,1
737,83,190,1
738,83,190,1
739,83,190,1
740,83,190,1
741,83,190,1
742,83,190,1
743,83,190,1
744,83,190,1
745,83,190,1
746,83,190,1
747,83,190,1
748,83,190,1
749,83,190,1
750,83,190,1
751,83,190,1
752,83,190,1
753,83,190,1
754,83,190,1
755,83,190,1
756,83,190,1
757,83,190,1
758,83,190,1
759,83,190,1
760,83,190,1
761,83,190,1
762,83,215,30
763,57,213,31
764,57,213,31
765,58,213,32
766,58,211,34
767,59,190,57
768,59,190,57
769,59,190,57
770,60,190,57
771,60,190,57
772,60,204,41
773,60,204,41
774,61,204,41
775,61,190,57
776,61,204,40
777,61,204,40
778,61,205,40
779,61,205,40
780,61,206,38
781,61,206,38
782,46,205,51
783,61,205,39
784,61,205,39
785,61,205,39
786,61,205,39
787,61,203,42
788,61,189,57
789,61,189,57
790,46,189,57
791,45,189,57
792,45,189,57
793,44,191,49
794,42,190,46
795,42,190,46
796,42,190,46
797,42,190,47
798,42,190,47
799,42,190,47
800,42,190,47
801,43,190,47
802,43,165,47
803,43,165,47
804,42,165,47
805,42,165,47
806,42,169,47
807,42,196,47
808,42,196,46
809,42,196,46
810,42,190,46
811,42,196,47
812,42,170,47
813,42,170,47
814,43,171,48
815,43,171,48
816,43,171,48
817,43,171,47
818,43,170,47
819,57,170,36
820,57,170,36
821,57,168,34
822,57,167,34
823,58,167,34
824,59,167,34
825,59,167,34
826,59,167,33
827,60,167,33
828,60,167,33
829,60,167,33
830,60,167,33
831,60,167,34
832,60,166,34
833,61,166,34
834,61,166,34
835,46,166,51
836,46,166,51
837,46,166,51
838,45,166,50
839,45,166,50
840,44,165,49
841,44,165,48
842,43,164,47
843,42,164,47
844,83,190,1
845,83,190,1
846,83,190,1
847,83,190,1
848,83,190,1
849,83,190,1
850,83,190,1
851,83,190,1
852,83,190,1
853,83,190,1
854,83,190,1
855,83,190,1
856,83,190,1
857,83,190,1
858,83,190,1
859,83,190,1
860,83,190,1
861,83,190,1
862,83,190,1
863,83,190,1
864,83,190,1
865,83,190,1
866,83,190,1
867,83,190,1
868,83,190,1
869,83,190,1
