X,Y
274.999,1016.168
275.999,1009.379
276.999,1003.611
277.999,984.320
278.999,991.794
279.999,995.611
280.999,972.966
281.999,1002.397
282.999,992.196
283.999,974.930
284.999,1007.100
285.999,1008.564
286.999,987.640
287.999,982.594
288.999,1000.261
289.999,999.966
290.999,968.468
291.999,992.556
292.999,979.809
293.999,986.705
294.999,967.118
295.999,991.354
296.999,996.687
297.999,990.914
298.999,989.658
299.999,967.419
300.999,981.183
301.999,984.905
302.999,981.879
303.999,970.364
304.999,984.278
305.999,982.331
306.999,970.358
307.999,976.326
308.999,962.740
309.999,960.155
310.999,956.590
311.999,969.408
312.999,956.920
313.999,957.104
314.999,961.368
315.999,946.269
316.999,965.903
317.999,950.943
318.999,946.475
319.999,953.505
320.999,953.823
321.999,944.228
322.999,936.172
323.999,936.538
324.999,945.352
325.999,948.357
326.999,940.056
327.999,944.177
328.999,948.272
329.999,936.863
330.999,947.473
331.999,922.005
332.999,924.495
333.999,913.863
334.999,916.318
335.999,920.227
336.999,936.123
337.999,931.845
338.999,929.630
339.999,907.616
340.999,914.971
341.999,922.586
342.999,902.714
343.999,904.242
344.999,922.254
345.999,903.789
346.999,896.025
347.999,898.835
348.999,901.490
349.999,896.164
350.999,893.351
351.999,900.182
352.999,903.921
353.999,892.040
354.999,888.903
355.999,897.514
356.999,875.211
357.999,892.337
358.999,888.309
359.999,879.811
360.999,877.075
361.999,863.910
362.999,881.220
363.999,874.295
364.999,886.024
365.999,876.478
366.999,875.460
367.999,863.956
368.999,865.384
369.999,871.939
370.999,874.402
371.999,857.412
372.999,856.235
373.999,851.194
374.999,873.480
375.999,863.763
376.999,867.271
377.999,839.545
378.999,857.664
379.999,859.830
380.999,852.122
381.999,856.551
382.999,844.333
383.999,839.289
384.999,843.782
385.999,838.432
386.999,845.959
387.999,852.294
388.999,852.546
389.999,845.143
390.999,854.208
391.999,845.590
392.999,842.356
393.999,831.936
394.999,823.764
395.999,831.490
396.999,845.538
397.999,839.864
398.999,822.262
399.999,834.821
400.999,832.465
401.999,839.167
402.999,821.287
403.999,825.803
404.999,823.101
405.999,836.203
406.999,821.813
407.999,824.692
408.999,826.962
409.999,822.438
410.999,832.862
411.999,825.860
412.999,826.876
413.999,827.286
414.999,796.620
415.999,801.146
416.999,799.933
417.999,812.160
418.999,818.472
419.999,830.461
420.999,821.058
421.999,808.819
422.999,823.684
423.999,823.351
424.999,804.986
425.999,804.216
426.999,797.765
427.999,807.280
428.999,810.947
429.999,803.841
430.999,806.375
431.999,806.950
432.998,794.871
433.998,813.441
434.998,809.419
435.998,793.909
436.998,789.547
437.998,786.975
438.998,790.354
439.998,793.006
440.998,790.442
441.998,790.364
442.998,795.308
443.998,786.942
444.998,792.627
445.998,779.467
446.998,786.145
447.998,780.726
448.998,782.510
449.998,783.174
450.998,775.238
451.998,780.066
452.998,782.975
453.998,783.169
454.998,789.155
455.998,777.796
456.998,780.818
457.998,770.014
458.998,777.562
459.998,780.068
460.998,771.017
461.998,774.600
462.998,779.647
463.998,783.391
464.998,778.482
465.998,782.107
466.998,784.538
467.998,773.503
468.998,771.481
469.998,757.968
470.998,761.528
471.998,757.119
472.998,760.177
473.998,769.282
474.998,748.270
475.998,758.601
476.998,761.612
477.998,769.133
478.998,763.550
479.998,760.084
480.998,756.622
481.998,753.645
482.998,762.239
483.998,754.420
484.998,763.563
485.998,767.121
486.998,756.762
487.998,748.848
488.998,751.939
489.998,743.027
490.998,750.706
491.998,763.948
492.998,758.468
493.998,750.127
494.998,747.311
495.998,746.244
496.998,750.932
497.998,757.085
498.998,756.951
499.998,759.948
500.998,751.753
501.998,742.588
502.998,743.412
503.998,749.428
504.998,750.658
505.998,744.477
506.998,745.266
507.998,747.960
508.998,742.785
509.998,746.436
510.998,746.716
511.998,741.948
512.998,744.358
513.998,742.746
514.998,741.927
515.998,737.253
516.998,736.938
517.998,735.377
518.998,737.969
519.998,741.603
520.998,727.457
521.998,723.298
522.998,729.631
523.998,730.082
524.998,712.877
525.998,722.318
526.998,723.646
527.998,718.982
528.998,720.129
529.998,731.109
530.998,726.859
531.998,729.295
532.998,719.789
533.998,720.561
534.998,720.822
535.998,719.730
536.998,712.652
537.998,707.220
538.998,708.477
539.998,713.414
540.998,713.993
541.998,717.259
542.998,722.221
543.998,704.950
544.998,701.618
545.998,703.047
546.998,711.407
547.998,702.281
548.998,702.877
549.998,704.878
