# time[s], tube length [µm]
  57.51840,   1.15557
  57.89280,   1.15557
  58.26720,   1.15557
  58.64160,   1.15557
  59.01600,   1.15557
  59.39040,   1.15557
  59.76480,   1.15557
  60.13920,   1.15557
  60.51360,   1.15557
  60.88800,   1.15557
  61.26240,   1.15557
  61.63680,   1.15557
  62.01120,   1.15557
  62.38560,   1.15557
  62.76000,   1.15557
  63.13440,   1.15557
  63.50880,   1.15557
  63.88320,   1.15557
  64.25760,   1.15557
  64.63200,   1.15557
  65.00640,   1.15557
  65.38080,   1.15557
  65.75520,   1.15557
  66.12960,   1.15557
  66.50400,   1.15557
  66.87840,   1.15557
  67.25280,   1.15557
  67.62720,   1.15557
  68.00160,   1.15557
  68.37600,   1.15557
  68.75040,   1.15557
  69.12480,   1.15557
  69.49920,   1.15557
  69.87360,   1.15557
  70.24800,   1.15557
  70.62240,   1.15557
  70.99680,   1.15557
  71.37120,   1.15557
  71.74560,   1.15557
  72.12000,   1.15557
  72.49440,   1.15557
  72.86880,   1.15557
  73.24320,   1.15557
  73.61760,   1.15557
  73.99200,   1.15557
  74.36640,   1.15557
  74.74080,   1.15557
  75.11520,   1.15557
  75.48960,   1.14850
  75.86400,   1.14850
  76.23840,   1.14850
  76.61280,   1.14850
  76.98720,   1.14850
  77.36160,   1.14850
  77.73600,   1.14850
  78.11040,   1.14850
  78.48480,   1.14850
  78.85920,   1.14850
  79.23360,   1.14850
  79.60800,   1.14850
  79.98240,   1.14850
  80.35680,   1.14850
  80.73120,   1.14850
  81.10560,   1.14850
  81.48000,   1.14850
  81.85440,   1.14850
  82.22880,   1.14850
  82.60320,   1.14850
  82.97760,   1.14850
  83.35200,   1.14850
  83.72640,   1.14850
  84.10080,   1.14850
  84.47520,   1.14850
  84.84960,   1.14850
  85.22400,   1.14850
  85.59840,   1.14850
  85.97280,   1.14850
  86.34720,   1.14850
  86.72160,   1.14850
  87.09600,   1.14850
  87.47040,   1.14850
  87.84480,   1.14850
  88.21920,   1.14850
  88.59360,   1.14850
  88.96800,   1.14850
  89.34240,   1.14850
  89.71680,   1.14850
  90.09120,   1.14850
  90.46560,   1.14850
  90.84000,   1.14850
  91.21440,   1.14850
  91.58880,   1.14850
  91.96320,   1.14850
  92.33760,   1.14850
  92.71200,   1.14850
  93.08640,   1.14850
  93.46080,   1.14850
  93.83520,   1.14850
  94.20960,   1.14850
  94.58400,   1.14850
  94.95840,   1.14850
  95.33280,   1.14850
  95.70720,   1.14850
  96.08160,   1.14850
  96.45600,   1.14850
  96.83040,   1.14850
  97.20480,   1.14850
  97.57920,   1.14850
  97.95360,   1.14850
  98.32800,   1.14850
  98.70240,   1.14850
  99.07680,   1.14850
  99.45120,   1.14850
  99.82560,   1.14850
 100.20000,   1.14850
 100.57440,   1.14850
 100.94880,   1.14850
 101.32320,   1.14850
 101.69760,   1.14850
 102.07200,   1.14850
 102.44640,   1.14850
