# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
 -13.99200,  -6.54302,  23.16950, 129.90617
 -13.61760, -29.77849,  30.71239, 135.73644
 -13.24320,   5.57737,  28.33443, 135.44865
 -12.86880,   5.21663,  23.45659, 135.53573
 -12.49440,   3.76631,  21.23000, 129.90601
 -12.12000,  12.63627,  24.85157, 136.11939
 -11.74560,   2.44181,  26.16128, 135.67233
 -11.37120,   3.24614,  28.72992, 136.27552
 -10.99680,   3.29521,  27.90659, 137.00543
 -10.62240,   3.95501,  27.32723, 136.87732
 -10.24800,   6.57347,  21.59074, 132.77805
  -9.87360,   3.49480,  26.09480, 137.07002
  -9.49920,   3.14384,  26.03516, 136.85659
  -9.12480,   4.37887,  25.48650, 136.35737
  -8.75040,  -3.65046,  18.50942, 132.68470
  -8.37600,   5.92139,  20.73371, 137.60190
  -8.00160,   5.19999,  17.53813, 138.07702
  -7.62720,   5.54897,  16.90201, 137.54189
  -7.25280,  -4.09893,  17.51662, 137.23066
  -6.87840, -36.07098,  17.48372, 136.50612
  -6.50400, -22.21747,  19.53407, 136.84203
  -6.12960,   4.37822,  19.04307, 136.70555
  -5.75520,   4.87612,  14.46589, 130.62202
  -5.38080,  45.38949,  20.43934, 137.49720
  -5.00640,   4.96875,  22.25147, 137.01241
  -4.63200,   8.45090,  23.87617, 136.78465
  -4.25760,   8.65992,  26.44270, 136.53438
  -3.88320,   5.65358,  25.85963, 136.84199
  -3.50880,   2.39359,  31.41211, 132.34594
  -3.13440,   4.99084,  28.44077, 137.47576
  -2.76000,   4.21644,  25.87164, 137.11390
  -2.38560,  -5.50727,  22.83631, 137.59483
  -2.01120,  -4.94154,  23.07872, 137.21320
  -1.63680,   3.01329,  21.72564, 136.60687
  -1.26240,  -4.39615,  20.45640, 136.43565
  -0.88800,   5.71437,  20.61222, 137.39747
  -0.51360,   5.19778,  20.03761, 137.31940
  -0.13920,   4.89165,  20.89174, 137.72100
   0.23520,   7.14741,  22.30274, 137.17407
   0.60960,   8.38277,  23.34043, 137.50471
   0.98400,   8.79494,  24.41246, 136.89091
   1.35840,   8.37613,  28.09992, 137.33731
   1.73280,   7.61961,  27.87301, 137.59883
   2.10720,   7.82456,  31.23304, 138.06575
   2.48160,   4.11829,  31.09385, 138.67845
   2.85600,   2.69699,  29.11103, 137.93214
   3.23040,   2.96849,  29.15229, 138.35197
   3.60480, -27.49059,  28.00912, 138.51003
   3.97920, -24.13652,  26.51683, 138.01973
   4.35360, -35.57708,  25.02550, 138.16015
   4.72800, -32.89554,  25.24598, 138.01575
   5.10240,  17.83076,  23.01035, 137.04791
   5.47680,  -5.83878,  22.25887, 136.43997
   5.85120,  -3.60362,  20.46859, 136.60228
   6.22560, -18.95409,  19.81712, 135.89535
   6.60000,  -7.44450,  20.74480, 136.04151
   6.97440,  -6.10904,  22.02412, 135.40986
   7.34880,  -4.49842,  25.23350, 134.94733
   7.72320,   8.32763,  25.05040, 135.15284
   8.09760,  -3.79862,  27.14709, 134.49731
   8.47200,   7.11211,  25.77089, 134.16555
   8.84640,  -5.24723,  26.10580, 133.31483
   9.22080,   0.00000,  30.80541, 133.70026
   9.59520,   8.60755,  30.97668, 133.23135
   9.96960,   8.06830,  30.32738, 127.92186
  10.34400,   6.92514,  30.96140, 132.89144
  10.71840,  52.76440,  27.42479, 127.16048
  11.09280,   5.40956,  26.47772, 132.52640
  11.46720,   5.86453,  26.63390, 132.90820
  11.84160,   5.24657,  25.64668, 133.36491
  12.21600,   4.80450,  28.41296, 133.95753
  12.59040,   2.83066,  27.88027, 134.13876
  12.96480,   4.30260,  24.37865, 134.24168
  13.33920,   3.90343,  26.61420, 133.50711
  13.71360,   2.18951,  26.58215, 133.75617
  14.08800,  34.89045,  27.56530, 134.80173
  14.46240,   2.46027,  28.24981, 134.48595
  14.83680,   6.75964,  25.76497, 134.15502
  15.21120,   4.47295,  29.77024, 133.47933
  15.58560,   6.19686,  30.45361, 133.16741
  15.96000,   6.52965,  30.33872, 132.55127
  16.33440,   5.19511,  28.60918, 132.72142
  16.70880,   4.45214,  29.73571, 131.74586
  17.08320,   4.87405,  28.13889, 132.07767
  17.45760,   7.13065,  26.69257, 131.97255
  17.83200,   7.58459,  26.55499, 131.46806
  18.20640,   3.80687,  24.89324, 131.60597
  18.58080,   3.65380,  26.96496, 132.09135
  18.95520,   3.43361,  25.09819, 132.26862
  19.32960,   3.12197,  24.33453, 131.62585
  19.70400,   2.24520,  26.17758, 132.01369
  20.07840,   3.59351,  27.73570, 132.17512
  20.45280,   3.19901,  28.86692, 132.76837
  20.82720,   2.00205,  37.00449, 132.87812
  21.20160,   2.76159,  38.39526, 132.24668
  21.57600,   2.78562,  36.95719, 131.50514
  21.95040,  11.21317,  39.47058, 131.63032
  22.32480,   8.60319,  35.47692, 131.66653
  22.69920,   3.65175,  32.97389, 131.52786
  23.07360,   4.09748,  34.64422, 131.48525
  23.44800,   0.00000,  28.98497, 131.06562
  23.82240,  19.05420,  27.99937, 130.42179
  24.19680,  14.88721,  26.23086, 130.03375
  24.57120,  12.13347,  25.80202, 130.02394
  24.94560,  11.18644,  26.68718, 129.96872
  25.32000,  23.65967,  29.39437, 129.86043
  25.69440,   3.47156,  30.36283, 129.69687
  26.06880,   2.90210,  34.01137, 128.77686
  26.44320,   6.07125,  37.07139, 129.26990
  26.81760,   5.76412,  37.71182, 129.61529
  27.19200,   6.71917,  34.91326, 129.02536
  27.56640,   4.69538,  38.19296, 128.69552
  27.94080,   6.28872,  38.17746, 128.24289
  28.31520,   5.74663,  41.07362, 128.25929
  28.68960,  -5.53114,  37.85705, 128.20244
  29.06400,  -5.16958,  35.70942, 127.48318
  29.43840,  -6.10860,  31.40686, 127.32433
  29.81280,  -5.55246,  25.79200, 126.89270
  30.18720,  -6.06963,  23.71738, 126.96431
  30.56160,  -6.37077,  22.90855, 127.07997
  30.93600,  -4.13951,  25.25105, 126.62335
  31.31040,  -3.50916,  20.25193, 119.96111
