X,Y
532.998,27.66318
533.998,27.19948
534.998,29.98567
535.998,29.68951
536.998,27.98392
537.998,27.77089
538.998,29.97911
539.998,28.21043
540.998,27.50494
541.998,28.49641
542.998,28.58661
543.998,28.11741
544.998,28.74554
545.998,28.41034
546.998,28.70861
547.998,30.29884
548.998,31.05306
549.998,29.68868
550.998,27.99141
551.998,28.43400
552.998,30.64647
553.998,29.92740
554.998,27.95426
555.998,29.49925
556.998,29.53121
557.998,29.12608
558.998,27.05126
559.998,28.83518
560.998,28.78625
561.998,30.42417
562.998,31.31056
563.998,27.85845
564.998,29.04658
565.998,28.12312
566.998,29.12836
567.998,29.21213
568.998,28.80987
569.998,28.83138
570.998,28.17164
571.998,27.63975
572.998,28.20776
573.998,29.36945
574.998,28.05355
575.998,29.28777
576.998,30.17973
577.998,30.10446
578.998,29.49726
579.998,29.92668
580.998,28.33026
581.998,27.06757
582.998,28.06560
583.998,28.78835
584.998,30.60033
585.998,30.05961
586.998,28.73969
587.998,28.71946
588.998,27.78070
589.998,27.85961
590.998,27.42915
591.998,27.64749
592.998,25.67716
593.998,26.59075
594.998,27.34942
595.998,26.63779
596.998,28.36805
597.998,30.83156
598.998,29.48832
599.998,29.52028
600.998,28.41814
601.998,26.62129
602.998,28.59838
603.998,31.21696
604.998,32.29026
605.998,29.32283
606.998,30.29726
607.998,29.01076
608.998,28.77216
609.998,27.26320
610.998,27.92124
611.998,30.24756
612.998,28.51054
613.998,27.37267
614.998,29.06205
615.998,28.53168
616.998,27.90420
617.998,28.11090
618.998,29.97648
619.998,29.52057
620.998,29.46256
621.998,31.00220
622.998,28.32522
623.998,28.06223
624.998,29.68099
625.998,30.21057
626.998,29.52425
627.998,28.50558
628.998,28.15936
629.998,27.24621
630.998,27.15796
631.998,26.72108
632.998,27.93576
633.998,30.09082
634.998,27.33128
635.998,29.28761
636.998,29.92319
637.998,28.22466
638.998,27.88297
639.998,26.94853
640.998,26.59742
641.998,28.22562
642.998,29.45279
643.998,29.41101
644.998,28.18436
645.998,28.84481
646.998,29.37166
647.998,28.35245
648.998,29.44281
649.998,27.65430
650.998,29.61230
651.998,29.48603
652.998,29.84783
653.998,29.93585
654.998,29.56976
655.998,28.36727
656.998,29.17901
657.998,29.12244
658.998,29.10944
659.998,30.85638
660.998,30.29210
661.998,26.90549
662.998,25.65215
663.998,27.83499
664.998,30.06195
665.998,28.56826
666.998,26.70639
667.998,29.45555
668.998,29.11643
669.998,29.15043
670.998,28.18045
671.998,27.36824
672.998,28.70291
673.998,30.75098
674.998,30.58314
675.998,28.84447
676.998,28.68119
677.998,30.44543
678.998,31.03666
679.998,30.82354
680.998,30.56463
681.998,30.00344
682.998,30.41163
683.998,30.52355
684.998,28.18624
685.998,26.59359
686.998,29.49786
687.998,29.60358
688.998,29.70045
689.998,30.55117
690.998,29.45165
691.998,29.60815
692.998,28.65444
693.998,28.24227
694.998,28.64673
695.998,27.98821
696.998,29.60569
697.998,29.42146
698.998,29.19224
699.998,29.32163
700.998,30.43104
701.998,30.21925
702.998,27.56244
703.998,27.10408
704.998,28.59838
705.998,29.65697
706.998,29.81896
707.997,28.46646
708.997,28.27517
709.997,28.15575
710.997,29.09984
711.997,30.12688
712.997,29.11279
713.997,28.89520
714.997,28.42149
715.997,30.09401
716.997,29.33412
717.997,28.70184
718.997,28.06334
719.997,28.83743
720.997,28.91489
721.997,29.60048
722.997,29.35452
723.997,28.81939
724.997,29.77840
725.997,29.13749
726.997,30.32758
727.997,29.61866
728.997,28.22869
729.997,29.13701
730.997,29.52928
731.997,30.74558
732.997,30.97205
733.997,29.90846
734.997,29.92080
735.997,28.79218
736.997,30.46932
737.997,30.21811
738.997,29.68265
