# time[s], FWHM ch1[µm],FWHM ch2[µm],FWHM ch3[µm]
 -20.35680,   0.17709,   0.57769,   0.46997
 -19.98240,   0.19314,   0.58005,   0.46997
 -19.60800,   0.20196,   0.58036,   0.46971
 -19.23360,   0.21043,   0.58036,   0.46971
 -18.85920,   0.21466,   0.58036,   0.46971
 -18.48480,   0.22552,   0.58036,   0.46971
 -18.11040,   0.23026,   0.58036,   0.46971
 -17.73600,   0.23026,   0.58036,   0.46846
 -17.36160,   0.23026,   0.59431,   0.46971
 -16.98720,   0.23465,   0.60095,   0.46986
 -16.61280,   0.25133,   0.60398,   0.46986
 -16.23840,   0.27100,   0.60398,   0.46986
 -15.86400,   0.27100,   0.60702,   0.46986
 -15.48960,   0.27100,   0.60875,   0.46997
 -15.11520,   0.28960,   0.60875,   0.46997
 -14.74080,   0.28960,   0.60875,   0.46986
 -14.36640,   0.28960,   0.60875,   0.46986
 -13.99200,   0.29400,   0.60875,   0.46971
 -13.61760,   0.29400,   0.61148,   0.46850
 -13.24320,   0.29400,   0.61148,   0.46850
 -12.86880,   0.29400,   0.60702,   0.46846
 -12.49440,   0.29400,   0.60702,   0.46846
 -12.12000,   0.29400,   0.59431,   0.46832
 -11.74560,   0.29400,   0.58755,   0.46832
 -11.37120,   0.30051,   0.58755,   0.46832
 -10.99680,   0.34133,   0.58903,   0.46832
 -10.62240,   0.34246,   0.58903,   0.46832
 -10.24800,   0.35403,   0.58903,   0.46832
  -9.87360,   0.37414,   0.58903,   0.46798
  -9.49920,   0.38869,   0.58903,   0.46762
  -9.12480,   0.40149,   0.58903,   0.46759
  -8.75040,   0.47128,   0.59431,   0.46748
  -8.37600,   0.49966,   0.60702,   0.46741
  -8.00160,   0.47128,   0.61148,   0.46741
  -7.62720,   0.40149,   0.61148,   0.46737
  -7.25280,   0.40149,   0.61148,   0.46737
  -6.87840,   0.38869,   0.61148,   0.46737
  -6.50400,   0.40149,   0.61148,   0.46737
  -6.12960,   0.40149,   0.61148,   0.46602
  -5.75520,   0.47128,   0.60702,   0.46538
  -5.38080,   0.47128,   0.60702,   0.46538
  -5.00640,   0.40149,   0.61148,   0.46512
  -4.63200,   0.38869,   0.61148,   0.46316
  -4.25760,   0.38869,   0.62232,   0.46316
  -3.88320,   0.38869,   0.62596,   0.46291
  -3.50880,   0.38869,   0.63177,   0.46257
  -3.13440,   0.38869,   0.63177,   0.46256
  -2.76000,   0.38869,   0.63795,   0.46256
  -2.38560,   0.38869,   0.63795,   0.46222
  -2.01120,   0.37414,   0.64308,   0.45993
  -1.63680,   0.35403,   0.64932,   0.45976
  -1.26240,   0.34246,   0.66620,   0.45947
  -0.88800,   0.34246,   0.66620,   0.45947
  -0.51360,   0.35403,   0.66620,   0.45976
  -0.13920,   0.34246,   0.66620,   0.45976
   0.23520,   0.30526,   0.66620,   0.45976
   0.60960,   0.30051,   0.66620,   0.45976
   0.98400,   0.30051,   0.66620,   0.45976
   1.35840,   0.30051,   0.66620,   0.45976
   1.73280,   0.27909,   0.65190,   0.45947
   2.10720,   0.27909,   0.64932,   0.45947
   2.48160,   0.27909,   0.64932,   0.45947
   2.85600,   0.30051,   0.64932,   0.45947
   3.23040,   0.30051,   0.64308,   0.45947
   3.60480,   0.30051,   0.63795,   0.45947
   3.97920,   0.30526,   0.63177,   0.45976
   4.35360,   0.33493,   0.62596,   0.45976
   4.72800,   0.33493,   0.62328,   0.45976
   5.10240,   0.33493,   0.62090,   0.45976
   5.47680,   0.34246,   0.62090,   0.45976
   5.85120,   0.34246,   0.62204,   0.45976
   6.22560,   0.34246,   0.62204,   0.45993
   6.60000,   0.34246,   0.62204,   0.45993
   6.97440,   0.34246,   0.62204,   0.45993
   7.34880,   0.35715,   0.62328,   0.45993
   7.72320,   0.37275,   0.62328,   0.45993
   8.09760,   0.37275,   0.62328,   0.45993
   8.47200,   0.37275,   0.62328,   0.45993
   8.84640,   0.37275,   0.62328,   0.46128
   9.22080,   0.37275,   0.62328,   0.46169
   9.59520,   0.37275,   0.62328,   0.46178
   9.96960,   0.37275,   0.62328,   0.46194
  10.34400,   0.37275,   0.62328,   0.46200
  10.71840,   0.46865,   0.62328,   0.46251
  11.09280,   0.46865,   0.62596,   0.46363
  11.46720,   0.47193,   0.65190,   0.46363
  11.84160,   0.55305,   0.65190,   0.46394
  12.21600,   0.55305,   0.65190,   0.46408
  12.59040,   0.55305,   0.65190,   0.46419
  12.96480,   0.55305,   0.65190,   0.46426
  13.33920,   0.73017,   0.65190,   0.46462
  13.71360,   0.74630,   0.65190,   0.46484
  14.08800,   0.83567,   0.62328,   0.46497
  14.46240,   0.83567,   0.62204,   0.46498
  14.83680,   0.92513,   0.62090,   0.46513
  15.21120,   0.93110,   0.61192,   0.46515
  15.58560,   0.94691,   0.61192,   0.46598
  15.96000,   1.07658,   0.60756,   0.46657
  16.33440,   1.12129,   0.60069,   0.46687
  16.70880,   1.12129,   0.60002,   0.46701
  17.08320,   1.12129,   0.59389,   0.46743
  17.45760,   1.12129,   0.58141,   0.46826
  17.83200,   1.12129,   0.57200,   0.46876
  18.20640,   1.12129,   0.57137,   0.46932
  18.58080,   1.18706,   0.56409,   0.47177
  18.95520,   1.18706,   0.56409,   0.47410
  19.32960,   1.27033,   0.56409,   0.47556
  19.70400,   1.27033,   0.56409,   0.47601
  20.07840,   1.27033,   0.56409,   0.47671
  20.45280,   1.27033,   0.56409,   0.47836
  20.82720,   1.27033,   0.56409,   0.47875
  21.20160,   1.27033,   0.56409,   0.47993
  21.57600,   1.27033,   0.56409,   0.48016
  21.95040,   1.27033,   0.56409,   0.48028
  22.32480,   1.27033,   0.56409,   0.48028
  22.69920,   1.27033,   0.56409,   0.48041
  23.07360,   1.27033,   0.57137,   0.48071
  23.44800,   1.27033,   0.57137,   0.48080
  23.82240,   1.27033,   0.60002,   0.48083
  24.19680,   1.27033,   0.60069,   0.48091
  24.57120,   1.27033,   0.60002,   0.48108
  24.94560,   1.01829,   0.60002,   0.48180
  25.32000,   0.94691,   0.57137,   0.48201
  25.69440,   0.86378,   0.57137,   0.48201
  26.06880,   0.84610,   0.56409,   0.48201
  26.44320,   0.83567,   0.56184,   0.48201
  26.81760,   0.75713,   0.54291,   0.48201
  27.19200,   0.73017,   0.53306,   0.48201
  27.56640,   0.72481,   0.50932,   0.48201
  27.94080,   0.71030,   0.50840,   0.48201
  28.31520,   0.67827,   0.49971,   0.48201
  28.68960,   0.67320,   0.49708,   0.48201
  29.06400,   0.66283,   0.49299,   0.48201
  29.43840,   0.66283,   0.48857,   0.48201
  29.81280,   0.67320,   0.48843,   0.48209
  30.18720,   0.67320,   0.48598,   0.48231
  30.56160,   0.67320,   0.48598,   0.48248
  30.93600,   0.66283,   0.48598,   0.48254
  31.31040,   0.59156,   0.48598,   0.48254
  31.68480,   0.57828,   0.48843,   0.48258
  32.05920,   0.57359,   0.48857,   0.48258
  32.43360,   0.50110,   0.48857,   0.48268
  32.80800,   0.47566,   0.49299,   0.48258
  33.18240,   0.47566,   0.49299,   0.48258
  33.55680,   0.47464,   0.49299,   0.48258
  33.93120,   0.44973,   0.49299,   0.48258
  34.30560,   0.39139,   0.49299,   0.48297
  34.68000,   0.39139,   0.49299,   0.48301
  35.05440,   0.39139,   0.49708,   0.48301
  35.42880,   0.39139,   0.50840,   0.48310
  35.80320,   0.39139,   0.50932,   0.48310
  36.17760,   0.44973,   0.53306,   0.48339
  36.55200,   0.47464,   0.54291,   0.48343
  36.92640,   0.47566,   0.54923,   0.48343
  37.30080,   0.47566,   0.58820,   0.48381
  37.67520,   0.50110,   0.60325,   0.48433
  38.04960,   0.50110,   0.61309,   0.48446
  38.42400,   0.48016,   0.61919,   0.48452
  38.79840,   0.47566,   0.61919,   0.48477
  39.17280,   0.47464,   0.61919,   0.48488
  39.54720,   0.44973,   0.61309,   0.48492
  39.92160,   0.44973,   0.60325,   0.48501
  40.29600,   0.44973,   0.58820,   0.48501
  40.67040,   0.43103,   0.57075,   0.48501
  41.04480,   0.36550,   0.57075,   0.48501
  41.41920,   0.36550,   0.57075,   0.48492
  41.79360,   0.36550,   0.56992,   0.48488
  42.16800,   0.36550,   0.56992,   0.48477
  42.54240,   0.34927,   0.56992,   0.48477
  42.91680,   0.34927,   0.56992,   0.48477
  43.29120,   0.33773,   0.57075,   0.48477
  43.66560,   0.33773,   0.58820,   0.48477
  44.04000,   0.33773,   0.60325,   0.48477
  44.41440,   0.33773,   0.61309,   0.48492
  44.78880,   0.34927,   0.61309,   0.48500
  45.16320,   0.36550,   0.61309,   0.48501
  45.53760,   0.36550,   0.61309,   0.48552
  45.91200,   0.36550,   0.61309,   0.48598
  46.28640,   0.38742,   0.61309,   0.48626
  46.66080,   0.43103,   0.61919,   0.48635
  47.03520,   0.43103,   0.61924,   0.48667
  47.40960,   0.38742,   0.61924,   0.48670
  47.78400,   0.38742,   0.61924,   0.48739
  48.15840,   0.38742,   0.61924,   0.48765
  48.53280,   0.38742,   0.61924,   0.48770
  48.90720,   0.38742,   0.62458,   0.48774
  49.28160,   0.38742,   0.62458,   0.48776
  49.65600,   0.38742,   0.62458,   0.48774
  50.03040,   0.36550,   0.62458,   0.48770
  50.40480,   0.36550,   0.62458,   0.48770
  50.77920,   0.38742,   0.61924,   0.48739
  51.15360,   0.43103,   0.61924,   0.48739
  51.52800,   0.43103,   0.61924,   0.48770
  51.90240,   0.43103,   0.61919,   0.48770
  52.27680,   0.43103,   0.61792,   0.48774
  52.65120,   0.43103,   0.61792,   0.48814
  53.02560,   0.43103,   0.61792,   0.48829
  53.40000,   0.38742,   0.61792,   0.48900
  53.77440,   0.36550,   0.61792,   0.48966
  54.14880,   0.34927,   0.61792,   0.49091
  54.52320,   0.33773,   0.61531,   0.49178
  54.89760,   0.32876,   0.61531,   0.49195
  55.27200,   0.31412,   0.61792,   0.49214
  55.64640,   0.31016,   0.61817,   0.49291
  56.02080,   0.31016,   0.61817,   0.49382
  56.39520,   0.31016,   0.61817,   0.49724
  56.76960,   0.31016,   0.61817,   0.49773
  57.14400,   0.31016,   0.61817,   0.49924
  57.51840,   0.31016,   0.62209,   0.50031
  57.89280,   0.31016,   0.62289,   0.50191
  58.26720,   0.31016,   0.62576,   0.50233
  58.64160,   0.31016,   0.62660,   0.50269
  59.01600,   0.31412,   0.62699,   0.50333
  59.39040,   0.32876,   0.62699,   0.50333
  59.76480,   0.34973,   0.62660,   0.50333
  60.13920,   0.34973,   0.62576,   0.50333
  60.51360,   0.38742,   0.62660,   0.50353
  60.88800,   0.44315,   0.62660,   0.50391
  61.26240,   0.45848,   0.62660,   0.50411
  61.63680,   0.46409,   0.62660,   0.50428
  62.01120,   0.54122,   0.63428,   0.50457
  62.38560,   0.56143,   0.63428,   0.50476
  62.76000,   0.64472,   0.63428,   0.50497
  63.13440,   0.66819,   0.63428,   0.50563
  63.50880,   0.68986,   0.64148,   0.50563
  63.88320,   0.70632,   0.64329,   0.50630
  64.25760,   0.70632,   0.64430,   0.50646
  64.63200,   0.70632,   0.64431,   0.50650
  65.00640,   0.70632,   0.64893,   0.50656
  65.38080,   0.70632,   0.65204,   0.50656
  65.75520,   0.70632,   0.65332,   0.50656
  66.12960,   0.70632,   0.65562,   0.50656
  66.50400,   0.70632,   0.65562,   0.50656
  66.87840,   0.68986,   0.65562,   0.50656
  67.25280,   0.66819,   0.65562,   0.50656
  67.62720,   0.64472,   0.65657,   0.50656
  68.00160,   0.59882,   0.66108,   0.50656
  68.37600,   0.59510,   0.66517,   0.50656
  68.75040,   0.59882,   0.66539,   0.50656
  69.12480,   0.59882,   0.68133,   0.50656
  69.49920,   0.59882,   0.68699,   0.50656
  69.87360,   0.61619,   0.68699,   0.50656
  70.24800,   0.64472,   0.68133,   0.50656
  70.62240,   0.66819,   0.68133,   0.50656
  70.99680,   0.68986,   0.68133,   0.50656
  71.37120,   0.68986,   0.68133,   0.50656
  71.74560,   0.70632,   0.68133,   0.50656
  72.12000,   0.73874,   0.68133,   0.50646
  72.49440,   0.74635,   0.68133,   0.50630
